timestamp;price
1418428800000;348.2400000544
1418515200000;349.3500000188
1418601600000;345.370000034
1418688000000;330.2200000204
1418774400000;320.0199999699
1418860800000;310.3400000442
1418947200000;317.7800000041
1419033600000;330.3499999646
1419120000000;322.6299999539
1419206400000;330.8400000207
1419292800000;335.2500000486
1419379200000;322.3999999693
1419465600000;318.9899999796
1419552000000;329.9800000178
1419638400000;315.3400000311
1419724800000;316.5300000174
1419811200000;314.1199999836
1419897600000;311.2699999617
1419984000000;318.2400000048
1420070400000;314.8900000447
1420156800000;315.2100000478
1420243200000;287.1300000324
1420329600000;264.7200000029
1420416000000;274.8399999633
1420502400000;282.2699999958
1420588800000;291.3400000164
1420675200000;282.6900000063
1420761600000;287.9699999765
1420848000000;273.350000035
1420934400000;264.769999975
1421020800000;269.3300000054
1421107200000;221.2899999862
1421193600000;164.9199999913
1421280000000;209.7799999883
1421366400000;206.9199999842
1421452800000;199.6500000137
1421539200000;210.6200000089
1421625600000;215.8699999896
1421712000000;210.5500000049
1421798400000;228.1699999897
1421884800000;232.700000003
1421971200000;232.1699999966
1422057600000;248.1599999986
1422144000000;252.0899999789
1422230400000;269.1799999675
1422316800000;263.2700000218
1422403200000;236.1699999924
1422489600000;233.9899999834
1422576000000;231.8399999845
1422662400000;218.5100000195
1422748800000;225.2900000073
1422835200000;238.8600000246
1422921600000;227.4100000115
1423008000000;226.5800000161
1423094400000;216.5200000026
1423180800000;222.9599999836
1423267200000;227.6800000149
1423353600000;223.670000009
1423440000000;220.3399999909
1423526400000;219.6699999956
1423612800000;218.8299999945
1423699200000;221.7899999896
1423785600000;236.1699999924
1423872000000;258.6400000074
1423958400000;233.2699999918
1424044800000;235.8299999824
1424131200000;243.2000000156
1424217600000;235.2000000151
1424304000000;241.9199999765
1424390400000;244.5199999888
1424476800000;244.4100000256
1424563200000;235.7299999997
1424649600000;238.8199999902
1424736000000;238.8899999849
1424822400000;237.3300000018
1424908800000;236.5299999756
1424995200000;253.4699999909
1425081600000;254.0599999864
1425168000000;257.940000004
1425254400000;273.7499999648
1425340800000;280.650000005
1425427200000;271.9200000179
1425513600000;275.2299999678
1425600000000;272.5599999792
1425686400000;274.9099999711
1425772800000;274.4899999955
1425859200000;290.0200000286
1425945600000;291.3700000214
1426032000000;295.6000000298
1426118400000;293.850000009
1426204800000;287.209999981
1426291200000;281.5999999712
1426377600000;284.8799999834
1426464000000;290.4100000133
1426550400000;285.3799999806
1426636800000;255.9199999813
1426723200000;260.9300000315
1426809600000;261.78
1426896000000;259.7100000175
1426982400000;268.5699999831
1427068800000;265.4599999731
1427155200000;246.7200000189
1427241600000;246.3700000029
1427328000000;248.0199999776
1427414400000;247.2099999916
1427500800000;252.020000029
1427587200000;242.080000028
1427673600000;246.7900000021
1427760000000;244.1499999785
1427846400000;246.2400000292
1427932800000;252.5999999909
1428019200000;254.4800000315
1428105600000;252.8899999871
1428192000000;259.6399999903
1428278400000;254.9699999838
1428364800000;252.9699999765
1428451200000;244.5699999975
1428537600000;243.3200000235
1428624000000;234.7299999854
1428710400000;236.4800000238
1428796800000;235.8500000038
1428883200000;223.5900000119
1428969600000;217.9899999978
1429056000000;222.9699999814
1429142400000;227.9799999894
1429228800000;222.5900000123
1429315200000;223.3500000044
1429401600000;223.0199999994
1429488000000;224.2400000178
1429574400000;233.7300000067
1429660800000;233.7800000017
1429747200000;235.4000000132
1429833600000;231.0899999899
1429920000000;226.1399999791
1430006400000;218.7000000132
1430092800000;228.9600000153
1430179200000;225.8099999912
1430265600000;225.4199999855
1430352000000;235.7699999757
1430438400000;233.2099999916
1430524800000;235.3399999764
1430611200000;239.9900000007
1430697600000;238.9700000133
1430784000000;235.8200000202
1430870400000;230.0300000088
1430956800000;237.7300000248
1431043200000;243.7399999876
1431129600000;241.4000000146
1431216000000;239.9599999926
1431302400000;241.8100000036
1431388800000;241.5799999725
1431475200000;236.3799999797
1431561600000;236.8999999824
1431648000000;237.2000000013
1431734400000;236.2299999875
1431820800000;236.2999999874
1431907200000;232.6399999783
1431993600000;232.0200000089
1432080000000;233.9599999973
1432166400000;235.38
1432252800000;240.3700000219
1432339200000;238.9399999974
1432425600000;240.9799999784
1432512000000;237.4099999731
1432598400000;237.839999986
1432684800000;237.2900000169
1432771200000;237.3199999945
1432857600000;237.0299999921
1432944000000;233.2199999966
1433030400000;229.8400000075
1433116800000;223.1400000175
1433203200000;225.7399999757
1433289600000;225.5899999873
1433376000000;224.2200000002
1433462400000;225.2900000073
1433548800000;224.7400000245
1433635200000;223.4699999911
1433721600000;228.5699999959
1433808000000;229.5599999836
1433894400000;228.7899999995
1433980800000;229.8800000056
1434067200000;230.4600000199
1434153600000;232.4799999792
1434240000000;233.7500000169
1434326400000;236.9999999832
1434412800000;249.8200000059
1434499200000;247.3800000277
1434585600000;248.4400000238
1434672000000;244.1299999808
1434758400000;244.9799999859
1434844800000;244.09999999
1434931200000;247.4599999723
1435017600000;243.7600000087
1435104000000;240.5599999896
1435190400000;242.5599999927
1435276800000;242.9500000061
1435363200000;250.730000019
1435449600000;248.8799999926
1435536000000;256.969999995
1435622400000;264.120000004
1435708800000;257.6200000323
1435795200000;254.8800000237
1435881600000;255.3999999686
1435968000000;260.550000008
1436054400000;270.140000001
1436140800000;269.0799999811
1436227200000;266.2100000231
1436313600000;268.6399999691
1436400000000;269.1399999646
1436486400000;283.6199999794
1436572800000;291.9699999809
1436659200000;310.4400000013
1436745600000;290.3499999598
1436832000000;286.9599999813
1436918400000;283.4200000045
1437004800000;276.5899999772
